close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
100.89,101.649,95.28,97.36,1819538,100.89,101.649,95.28,97.36,1819538,0.0,1.0
100.98,102.63,100.71,101.75,1453684,100.98,102.63,100.71,101.75,1453684,0.0,1.0
98.44,101.97,97.6,101.86,1435485,98.44,101.97,97.6,101.86,1435485,0.0,1.0
99.85,100.65,98.5,99.02,1400882,99.85,100.65,98.5,99.02,1400882,0.0,1.0
100.81,101.02,98.29,99.4,1516748,100.81,101.02,98.29,99.4,1516748,0.0,1.0
96.29,101.9,96.16,101.39,2578441,96.29,101.9,96.16,101.39,2578441,0.0,1.0
96.62,97.24,94.37,96.12,1344498,96.62,97.24,94.37,96.12,1344498,0.0,1.0
93.06,96.61,92.52,96.45,3217125,93.06,96.61,92.52,96.45,3217125,0.0,1.0
94.07,94.49,92.91,93.68,1569001,94.07,94.49,92.91,93.68,1569001,0.0,1.0
91.65,95.22,91.23,94.07,2304835,91.65,95.22,91.23,94.07,2304835,0.0,1.0
90.31,92.0,88.81,92.0,2615674,90.31,92.0,88.81,92.0,2615674,0.0,1.0
91.92,93.5102,89.98,90.1,1994398,91.92,93.5102,89.98,90.1,1994398,0.0,1.0
93.16,93.58,91.55,92.23,1877992,93.16,93.58,91.55,92.23,1877992,0.0,1.0
94.08,95.33,92.65,93.38,2539903,94.08,95.33,92.65,93.38,2539903,0.0,1.0
94.63,95.164,93.88,94.1,1274971,94.63,95.164,93.88,94.1,1274971,0.0,1.0
95.34,96.44,94.33,94.75,1407008,95.34,96.44,94.33,94.75,1407008,0.0,1.0
94.26,95.78,93.66,95.41,1200588,94.26,95.78,93.66,95.41,1200588,0.0,1.0
95.51,95.685,94.06,94.73,1248085,95.51,95.685,94.06,94.73,1248085,0.0,1.0
93.54,95.94,93.27,95.9,1321443,93.54,95.94,93.27,95.9,1321443,0.0,1.0
92.5,93.37,91.66,92.93,1247383,92.5,93.37,91.66,92.93,1247383,0.0,1.0
90.29,92.7552,89.77,92.61,1368486,90.29,92.7552,89.77,92.61,1368486,0.0,1.0
89.67,91.2681,89.27,90.52,1340841,89.67,91.2681,89.27,90.52,1340841,0.0,1.0
85.92,89.45,85.75,89.11,2319718,85.92,89.45,85.75,89.11,2319718,0.0,1.0
85.34,87.9,85.31,86.09,1776320,85.34,87.9,85.31,86.09,1776320,0.0,1.0
88.11,88.33,84.21,85.06,2185100,88.11,88.33,84.21,85.06,2185100,0.0,1.0
86.34,88.05,86.09,87.25,1242970,86.34,88.05,86.09,87.25,1242970,0.0,1.0
83.92,87.23,83.88,86.4,1645886,83.92,87.23,83.88,86.4,1645886,0.0,1.0
84.5,85.385,80.85,84.45,2199530,84.5,85.385,80.85,84.45,2199530,0.0,1.0
87.52,88.36,84.99,84.99,1729750,87.52,88.36,84.99,84.99,1729750,0.0,1.0
88.03,88.835,85.891,87.25,1654837,88.03,88.835,85.891,87.25,1654837,0.0,1.0
88.17,89.12,86.21,87.31,2226070,88.17,89.12,86.21,87.31,2226070,0.0,1.0
85.59,88.59,83.75,87.9,2467019,85.59,88.59,83.75,87.9,2467019,0.0,1.0
86.03,88.2284,84.51,85.55,2383055,86.03,88.2284,84.51,85.55,2383055,0.0,1.0
85.51,87.561,84.58,85.6,1350655,85.51,87.561,84.58,85.6,1350655,0.0,1.0
84.71,86.985,84.66,85.36,1360283,84.71,86.985,84.66,85.36,1360283,0.0,1.0
85.19,87.54,85.02,85.14,1311878,85.19,87.54,85.02,85.14,1311878,0.0,1.0
87.8,88.015,84.88,85.43,1440106,87.8,88.015,84.88,85.43,1440106,0.0,1.0
87.53,91.2835,87.12,88.5,996576,87.53,91.2835,87.12,88.5,996576,0.0,1.0
