Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Sets,Climb Time,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Mountain Biking,2020-09-06 11:54:05,False,Bergen Mountain Biking,14.83,669.0,00:50:49,177,194,5.0,,,17.5,38.9,234,216,"0,00","0,0","0,0","0,0","29,9","4,0",,50:49,39.0,0:00,"12,0",0:00,No,50:49.44,1,"0,0",21.0,45.0
Mountain Biking,2020-09-02 11:31:13,False,Bergen Mountain Biking,8.75,401.0,00:33:39,168,184,3.8,,,15.6,37.8,146,143,"0,00","0,0","0,0","0,0","20,9","3,8",,33:39,38.0,0:00,"16,0",0:00,No,33:39.31,1,"0,0",21.0,49.0
Mountain Biking,2020-09-02 10:38:30,False,Bergen Mountain Biking,14.72,626.0,00:46:44,178,192,5.0,,,18.9,42.5,229,211,"0,00","0,0","0,0","0,0","32,1","3,9",,46:44,41.0,0:00,"14,0",0:00,No,46:43.97,1,"0,0",20.0,52.0
Mountain Biking,2020-08-22 10:42:38,False,Bergen Mountain Biking,14.7,484.0,01:12:03,126,173,2.4,,,12.2,38.4,267,233,"0,00","0,0","0,0","0,0","37,5","4,4",,1:12:03,28.0,0:00,"18,0",0:00,No,01:12:02.96,1,"0,0",14.0,40.0
Mountain Biking,2020-08-19 11:05:39,False,Bergen Mountain Biking,23.49,1.047,01:21:34,173,189,5.0,,,17.3,41.3,368,360,"0,00","0,0","0,0","0,0","81,2","4,4",,1:21:34,40.0,0:00,"22,0",0:00,No,10:04.46,3,"0,0",18.0,46.0
Mountain Biking,2020-08-16 10:14:49,False,Bergen Mountain Biking,15.07,640.0,01:11:49,143,182,3.4,,,12.6,42.7,244,240,"0,00","0,0","0,0","0,0","58,9","5,1",,1:11:49,32.0,0:00,"23,0",0:00,No,01:11:48.80,1,"0,0",19.0,43.0
Mountain Biking,2020-08-12 10:40:37,False,Velsen Mountain Biking,16.81,914.0,01:28:55,158,190,5.0,,,11.3,40.9,373,373,"0,00","0,0","0,0","0,0","71,4","5,6",,1:28:55,35.0,0:00,"28,0",0:00,No,03:02.43,5,"0,0",21.0,50.0
Mountain Biking,2020-08-05 15:25:10,False,Sheffield Mountain Biking,4.92,251.0,00:25:17,146,164,2.9,,,11.7,28.1,124,127,"0,00","0,0","0,0","0,0","24,3","3,8",,25:17,33.0,0:00,"17,0",0:00,No,25:17.10,1,"0,0",23.0,41.0
Mountain Biking,2020-08-05 13:44:08,False,Derbyshire Dales Mountain Biking,15.88,671.0,01:17:10,148,177,3.6,,,12.3,45.5,366,365,"0,00","0,0","0,0","0,0","47,8","3,0",,1:17:10,32.0,0:00,"20,0",0:00,No,01:17:09.100,1,"0,0",18.0,41.0
Mountain Biking,2020-08-04 15:42:02,False,Sheffield Mountain Biking,17.71,579.0,02:04:00,106,147,2.0,,,8.6,43.8,408,398,"0,00","0,0","0,0","0,0","68,1","3,2",,2:04:00,23.0,0:00,"15,0",0:00,No,00:02.93,2,"0,0",14.0,31.0
Mountain Biking,2020-08-01 12:05:30,False,Cheshire East Mountain Biking,25.11,1.06,02:22:28,144,183,4.3,,,10.6,37.7,757,769,"0,00","0,0","0,0","0,0","113,7","3,3",,2:22:28,32.0,0:00,"12,0",0:00,No,02:22:27.86,1,"0,0",14.0,42.0
Mountain Biking,2020-07-29 14:41:03,False,Velsen Mountain Biking,6.48,450.0,00:34:42,170,189,4.6,,,11.2,37.0,174,174,"0,00","0,0","0,0","0,0","31,3","5,9",,34:42,39.0,0:00,"20,0",0:00,No,34:42.08,1,"0,0",29.0,49.0
Mountain Biking,2020-07-29 13:51:32,False,Velsen Mountain Biking,6.53,517.0,00:39:49,165,190,5.0,,,9.8,37.5,181,174,"0,00","0,0","0,0","0,0","32,1","6,2",,39:49,39.0,0:00,"20,0",0:00,No,39:49.23,1,"0,0",25.0,48.0
Mountain Biking,2020-07-26 15:15:13,False,Bergen Mountain Biking,13.45,740.0,00:57:30,168,187,5.0,,,14.0,38.0,396,391,"0,00","0,0","0,0","0,0","0,0","0,0",,57:30,,0:00,"0,0",0:00,No,57:29.56,1,"0,0",,
Mountain Biking,2020-07-23 16:30:38,False,Velsen Mountain Biking,9.31,553.0,01:00:42,142,179,2.8,,,9.2,38.7,334,336,"0,00","0,0","0,0","0,0","0,0","0,0",,1:00:42,,0:00,"0,0",0:00,No,04:16.84,4,"0,0",,
Mountain Biking,2020-07-19 13:12:54,False,Velsen Mountain Biking,13.76,826.0,01:17:45,154,190,4.5,,,10.6,35.5,66,66,"0,00","0,0","0,0","0,0","0,0","0,0",,1:17:45,,0:00,"0,0",0:00,No,02:08.06,7,"0,0",,
Mountain Biking,2020-07-17 16:57:15,False,Velsen Mountain Biking,7.42,453.0,00:49:43,141,183,2.8,,,9.0,38.0,44,40,"0,00","0,0","0,0","0,0","0,0","0,0",,49:43,,0:00,"0,0",0:00,No,02:03.15,4,"0,0",,
Mountain Biking,2020-07-15 17:38:25,False,Velsen Mountain Biking,16.36,962.0,01:20:48,168,189,5.0,,,12.1,36.6,61,61,"0,00","0,0","0,0","0,0","0,0","0,0",,1:20:48,,0:00,"0,0",0:00,No,01:45.40,7,"0,0",,
Mountain Biking,2020-07-12 12:29:12,False,Velsen Mountain Biking,7.57,415.0,00:47:25,137,179,2.6,,,9.6,33.6,52,51,"0,00","0,0","0,0","0,0","0,0","0,0",,47:25,,0:00,"0,0",0:00,No,02:40.05,3,"0,0",,
Mountain Biking,2020-07-11 15:40:24,False,Velsen Mountain Biking,16.01,1.055,01:22:17,172,188,5.0,,,11.7,37.3,61,56,"0,00","0,0","0,0","0,0","0,0","0,0",,1:22:17,,0:00,"0,0",0:00,No,06:57.99,5,"0,0",,
Mountain Biking,2020-07-04 10:24:16,False,Velsen Mountain Biking,12.3,920.0,01:26:47,158,186,3.9,,,8.5,28.8,59,58,"0,00","0,0","0,0","0,0","0,0","0,0",,1:26:47,,0:00,"0,0",0:00,No,24:36.61,3,"0,0",,
Mountain Biking,2020-07-02 19:00:34,False,Velsen Mountain Biking,6.47,366.0,00:47:13,129,173,2.1,,,8.2,29.4,36,36,"0,00","0,0","0,0","0,0","0,0","0,0",,47:13,,0:00,"0,0",0:00,No,10:37.15,2,"0,0",,
Mountain Biking,2020-06-29 15:17:24,False,Velsen Mountain Biking,12.62,755.0,01:16:15,146,181,3.8,,,9.9,33.7,83,86,"0,00","0,0","0,0","0,0","0,0","0,0",,1:16:15,,0:00,"0,0",0:00,No,06:00.08,4,"0,0",,
Mountain Biking,2020-06-26 12:25:05,False,Velsen Mountain Biking,14.32,892.0,01:41:02,140,191,4.1,,,8.5,32.9,98,100,"0,00","0,0","0,0","0,0","0,0","0,0",,1:41:02,,0:00,"0,0",0:00,No,01:04.01,6,"0,0",,
Mountain Biking,2020-06-24 15:21:54,False,Leusden Mountain Biking,18.0,952.0,01:37:52,157,190,5.0,,,11.0,27.7,25,30,"0,00","0,0","0,0","0,0","0,0","0,0",,1:37:52,,0:00,"0,0",0:00,No,19:37.30,4,"0,0",,
Mountain Biking,2020-06-22 14:39:38,False,Velsen Mountain Biking,14.86,1.016,01:35:52,162,190,5.0,,,9.3,33.5,84,76,"0,00","0,0","0,0","0,0","0,0","0,0",,1:35:52,,0:00,"0,0",0:00,No,24:59.91,3,"0,0",,
Mountain Biking,2020-06-20 11:41:05,False,Velsen Mountain Biking,13.96,868.0,01:51:32,137,188,3.2,,,7.5,32.1,62,64,"0,00","0,0","0,0","0,0","0,0","0,0",,1:51:32,,0:00,"0,0",0:00,No,27:41.36,3,"0,0",,
Mountain Biking,2020-06-16 15:57:54,False,Amersfoort Mountain Biking,26.03,1.093,01:40:29,159,185,4.8,,,15.5,32.6,83,83,"0,00","0,0","0,0","0,0","0,0","0,0",,1:40:29,,0:00,"0,0",0:00,No,03:16.85,6,"0,0",,
Mountain Biking,2020-06-13 15:29:36,False,Velsen Mountain Biking,19.14,1.246,02:01:57,160,189,4.2,,,9.4,32.1,76,76,"0,00","0,0","0,0","0,0","0,0","0,0",,2:01:57,,0:00,"0,0",0:00,No,26:02.24,4,"0,0",,
