date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
07/01/2020,AAPL,298.39,300.9,297.48,299.84,27877655,73.957774923,74.5798936772,73.7322258926,74.3171662352,111510620,0.0,1.0
08/01/2020,AAPL,303.19,304.44,297.16,297.16,33090946,75.1474840943,75.457304191,73.6529119479,73.6529119479,132363784,0.0,1.0
09/01/2020,AAPL,309.63,310.43,306.2,307.24,42621542,76.7436772325,76.9419620944,75.8935308872,76.1513012077,170486168,0.0,1.0
10/01/2020,AAPL,310.33,312.67,308.25,310.6,35217272,76.9171764867,77.4971597077,76.4016358458,76.9840976276,140869088,0.0,1.0
13/01/2020,AAPL,316.96,317.07,311.15,311.64,30028742,78.5604622796,,77.1204184701,77.241867948,120114968,0.0,1.0
14/01/2020,AAPL,312.68,317.57,312.17,316.7,40653457,77.4996382685,78.7116544868,77.373231669,78.4960196995,162613828,0.0,1.0
16/01/2020,AAPL,315.24,315.7,312.09,313.59,27207254,78.1341498265,78.2481636221,77.3534031828,77.7251872989,108829016,0.0,1.0
17/01/2020,AAPL,318.73,318.74,315.0,316.27,34454117,78.9991675365,79.0016460973,78.074664368,78.3894415862,137816468,0.0,1.0
21/01/2020,AAPL,316.57,319.02,316.0,317.19,,78.4637984094,79.0710457989,78.3225204453,78.6174691774,108940156,0.0,1.0
23/01/2020,AAPL,319.23,319.56,315.65,317.92,26117993,79.1230955752,79.2048880807,78.2357708182,78.7984041138,104471972,0.0,1.0
24/01/2020,AAPL,318.31,323.33,317.52,320.25,36634380,78.895067984,80.1393054924,78.6992616829,79.3759087741,146537520,0.0,1.0
27/01/2020,AAPL,308.95,311.77,304.88,310.06,40485005,76.5751350999,77.2740892381,75.5663608651,76.8502553458,161940020,0.0,1.0
28/01/2020,AAPL,317.69,318.4,,312.6,40558486,78.741397216,78.917375031,77.3781887906,77.4798097823,162233944,0.0,1.0
29/01/2020,AAPL,324.34,327.85,,324.45,54149928,80.3896401305,81.259614962,79.6559861415,80.416904299,216599712,0.0,
03/02/2020,AAPL,308.66,313.49,,304.3,43496401,76.5032568375,77.7004016911,74.9070636993,75.4226043402,173985604,0.0,
04/02/2020,AAPL,318.85,319.64,313.63,315.31,34154134,79.0289102658,79.2247165669,77.735101542,78.1514997519,136616536,0.0,1.0
