date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,leverage
2020-09-26,AAPL,USD,2020-10-30,2020-10-29 18:06:25,FY,38.016,52.927,90.943,37.445,4.061,11.264,143.713,36.766,0.0,0.0,0.0,100.887,0.0,42.522,180.175,90.482,323.888,42.296,13.769,0.0,6.643,42.684,105.392,98.667,0.0,0.0,26.32,153.157,0.0,258.549,50.779,14.966,-0.406,0.0,65.339,323.888,153.814,112.436,74.42,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,3.957039440456695
2019-09-28,AAPL,USD,2019-10-31,2019-10-30 18:12:36,FY,48.844,51.713,100.557,45.804,4.106,12.352,162.819,37.378,0.0,0.0,0.0,105.341,0.0,32.978,175.697,0.0,338.516,46.236,16.24,0.0,5.522,37.72,105.718,91.807,0.0,0.0,20.958,142.31,0.0,248.028,45.174,45.898,-0.584,0.0,90.488,338.516,157.054,108.047,59.203,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2.7410043320661304
2018-09-29,AAPL,USD,2018-11-05,2018-11-05 08:01:40,FY,25.913,40.388,66.301,48.995,3.956,12.087,131.339,41.304,0.0,0.0,0.0,170.799,0.0,22.283,234.386,0.0,365.725,55.888,20.748,0.0,7.543,32.687,116.866,93.735,2.797,0.426,11.165,141.712,0.0,258.578,40.201,70.4,-3.454,0.0,107.147,365.725,211.187,114.483,88.57,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2.4133013523477094
2017-09-30,AAPL,USD,2017-11-03,2017-11-03 08:01:37,FY,20.289,53.892,74.181,35.673,4.855,13.936,128.645,33.783,5.717,2.298,8.015,194.714,0.0,10.162,246.674,0.0,375.319,49.049,18.473,0.0,7.548,0.0,100.814,97.207,2.836,31.504,8.911,140.458,0.0,241.272,35.867,98.33,-0.15,0.0,134.047,375.319,248.606,115.68,95.391,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,1.7999060031183092
2016-09-24,AAPL,USD,2016-10-26,2016-10-26 16:42:16,FY,20.484,46.671,67.155,15.754,2.132,8.283,106.869,27.01,5.414,3.206,8.62,170.43,26.019,8.757,214.817,0.0,321.686,37.294,8.105,0.0,8.08,9.156,79.006,75.427,2.93,0.0,36.074,114.431,0.0,193.437,31.251,96.364,0.634,-0.54,128.249,321.686,217.101,83.532,63.048,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,1.5082924623193943
2015-09-26,AAPL,USD,2015-10-28,2015-10-28 16:31:09,FY,21.12,20.481,41.601,16.849,2.349,15.085,89.378,22.471,5.116,3.893,9.009,164.065,24.062,5.422,200.967,0.0,290.345,35.49,8.499,0.0,8.94,9.952,80.61,53.329,3.624,0.0,33.427,90.38,0.0,170.99,27.416,92.284,-0.345,0.308,119.355,290.345,184.546,61.828,40.708,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,1.432616982950023
2014-09-27,AAPL,USD,2014-10-27,2014-10-27 17:11:55,FY,13.844,11.233,25.077,17.46,2.111,14.124,68.531,20.624,4.616,4.142,8.758,130.162,20.259,3.764,163.308,0.0,231.839,30.196,6.308,0.0,8.491,19.255,63.448,28.987,3.031,4.318,24.826,56.844,0.0,120.292,23.313,87.152,1.082,1.324,111.547,231.839,141.395,35.295,21.451,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,1.0783974468161404
2013-09-28,AAPL,USD,2013-10-30,2013-10-29 20:38:28,FY,14.259,26.287,40.546,13.102,1.764,10.335,73.286,16.597,1.577,4.179,5.756,106.215,16.489,5.146,133.714,0.0,207.0,22.367,0.0,0.0,7.435,16.509,43.658,16.96,2.625,3.453,20.208,39.793,0.0,83.451,19.764,104.256,-0.471,-0.366,123.549,207.0,132.502,16.96,2.701,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,0.6754486074351067
2012-09-29,AAPL,USD,2012-10-31,2012-10-31 17:07:19,FY,10.746,18.383,29.129,10.93,0.791,9.041,57.653,15.452,1.135,4.224,5.359,92.122,13.847,5.478,118.411,0.0,176.064,21.175,0.0,0.0,5.953,14.084,38.542,0.0,2.648,2.583,16.664,19.312,0.0,57.854,16.422,101.289,0.499,0.491,118.21,176.064,110.505,0.0,-10.746,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,0.4894171389899332
2011-09-24,AAPL,USD,2011-10-26,2011-10-26 16:35:25,FY,9.815,16.137,25.952,5.369,0.776,6.543,44.988,7.777,0.896,3.536,4.432,55.618,8.159,3.556,71.383,0.0,116.371,14.632,0.0,0.0,4.091,10.91,27.97,0.0,1.686,2.014,10.1,11.786,0.0,39.756,13.331,62.841,0.443,0.42,76.615,116.371,71.755,0.0,-9.815,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,0.5189062194087319
2020-12-31,GOGL,USD,2020-12-31,2020-12-31,FY,0.153093,0.003684,0.156777,0.06553,0.025165,0.003233,0.284529,2.403905,0.0,0.0,0.0,0.016399,0.0,0.010006,2.436538,0.0,2.721067,0.018402,0.0,0.0,0.025939,0.00144,0.241675,0.957652,0.0,0.0,0.0,1.110636,0.0,1.352311,0.007215,-0.366722,-0.458419,0.0,1.368756,2.721067,0.020083,1.238725,1.085632,,,0.9879854407944147
2019-12-31,GOGL,USD,2020-03-12,2020-03-12 17:29:41,FY,0.088931,0.013861,0.102792,0.050815,0.028235,0.091235,0.273077,2.589593,0.0,0.0,0.0,0.021483,0.0,0.071204,2.69298,0.0,2.966057,0.016372,0.087787,0.0,0.0,0.051876,0.233367,1.177289,0.0,0.0,0.04201,1.219299,0.0,1.452666,0.007215,1.51113,-0.366041,0.0,1.513391,2.966057,0.035344,1.265076,1.176145,https://www.sec.gov/Archives/edgar/data/1029145/000102914520000011/gogl-20191231.htm,https://www.sec.gov/Archives/edgar/data/1029145/000102914520000011/gogl-20191231.htm,0.9598748770145984
