symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CTLT,2019-06-03 00:00:00+00:00,45.59,46.07,44.93,45.38,754996,45.59,46.07,44.93,45.38,754996,0.0,1.0
CTLT,2019-06-04 00:00:00+00:00,46.78,46.83,45.9,46.13,697799,46.78,46.83,45.9,46.13,697799,0.0,1.0
CTLT,2019-06-05 00:00:00+00:00,46.03,46.86,45.23,46.71,1021864,46.03,46.86,45.23,46.71,1021864,0.0,1.0
CTLT,2019-06-06 00:00:00+00:00,47.61,47.72,46.08,46.25,685822,47.61,47.72,46.08,46.25,685822,0.0,1.0
CTLT,2019-06-07 00:00:00+00:00,48.16,48.53,47.75,47.75,424460,48.16,48.53,47.75,47.75,424460,0.0,1.0
CTLT,2019-06-10 00:00:00+00:00,48.81,49.02,48.18,48.28,487741,48.81,49.02,48.18,48.28,487741,0.0,1.0
CTLT,2019-06-11 00:00:00+00:00,49.69,49.8,48.69,49.17,1169810,49.69,49.8,48.69,49.17,1169810,0.0,1.0
CTLT,2019-06-12 00:00:00+00:00,49.52,50.63,49.25,49.77,2374779,49.52,50.63,49.25,49.77,2374779,0.0,1.0
CTLT,2019-06-13 00:00:00+00:00,50.32,50.34,49.07,49.52,823441,50.32,50.34,49.07,49.52,823441,0.0,1.0
CTLT,2019-06-14 00:00:00+00:00,49.69,50.24,49.37,50.15,541280,49.69,50.24,49.37,50.15,541280,0.0,1.0
CTLT,2019-06-17 00:00:00+00:00,50.57,50.98,49.7601,49.97,722248,50.57,50.98,49.7601,49.97,722248,0.0,1.0
CTLT,2019-06-18 00:00:00+00:00,50.48,50.83,50.13,50.82,476550,50.48,50.83,50.13,50.82,476550,0.0,1.0
CTLT,2019-06-19 00:00:00+00:00,50.59,51.11,50.26,50.93,685682,50.59,51.11,50.26,50.93,685682,0.0,1.0
CTLT,2019-06-20 00:00:00+00:00,50.28,51.16,50.21,51.16,526535,50.28,51.16,50.21,51.16,526535,0.0,1.0
CTLT,2019-06-21 00:00:00+00:00,53.24,54.1,50.7,50.7,1916544,53.24,54.1,50.7,50.7,1916544,0.0,1.0
CTLT,2019-06-24 00:00:00+00:00,52.7,53.3678,52.52,53.22,860371,52.7,53.3678,52.52,53.22,860371,0.0,1.0
CTLT,2019-06-25 00:00:00+00:00,53.16,53.28,52.12,52.92,731760,53.16,53.28,52.12,52.92,731760,0.0,1.0
CTLT,2019-06-26 00:00:00+00:00,52.97,53.53,52.55,53.16,607685,52.97,53.53,52.55,53.16,607685,0.0,1.0
CTLT,2019-06-27 00:00:00+00:00,53.77,54.08,52.94,53.3,456344,53.77,54.08,52.94,53.3,456344,0.0,1.0
CTLT,2019-06-28 00:00:00+00:00,54.21,54.91,53.93,53.93,1616630,54.21,54.91,53.93,53.93,1616630,0.0,1.0
CTLT,2019-07-01 00:00:00+00:00,54.71,54.99,52.98,54.87,1198119,54.71,54.99,52.98,54.87,1198119,0.0,1.0
CTLT,2019-07-02 00:00:00+00:00,55.52,55.56,54.53,54.71,777835,55.52,55.56,54.53,54.71,777835,0.0,1.0
CTLT,2019-07-03 00:00:00+00:00,55.92,55.98,55.38,55.81,845336,55.92,55.98,55.38,55.81,845336,0.0,1.0
CTLT,2019-07-05 00:00:00+00:00,55.46,55.94,54.8,55.86,381112,55.46,55.94,54.8,55.86,381112,0.0,1.0
CTLT,2019-07-08 00:00:00+00:00,54.55,55.28,54.41,55.26,609055,54.55,55.28,54.41,55.26,609055,0.0,1.0
CTLT,2019-07-09 00:00:00+00:00,54.53,55.15,54.39,54.5,529495,54.53,55.15,54.39,54.5,529495,0.0,1.0
CTLT,2019-07-10 00:00:00+00:00,54.87,55.06,54.145,54.77,591312,54.87,55.06,54.145,54.77,591312,0.0,1.0
CTLT,2019-07-11 00:00:00+00:00,54.26,54.9,53.64,54.62,591801,54.26,54.9,53.64,54.62,591801,0.0,1.0
CTLT,2019-07-12 00:00:00+00:00,53.44,54.29,53.15,54.29,730917,53.44,54.29,53.15,54.29,730917,0.0,1.0
CTLT,2019-07-15 00:00:00+00:00,53.98,54.31,53.24,53.69,412658,53.98,54.31,53.24,53.69,412658,0.0,1.0
CTLT,2019-07-16 00:00:00+00:00,53.74,54.56,53.55,53.81,495837,53.74,54.56,53.55,53.81,495837,0.0,1.0
CTLT,2019-07-17 00:00:00+00:00,53.76,54.1,53.47,53.7,540661,53.76,54.1,53.47,53.7,540661,0.0,1.0
CTLT,2019-07-18 00:00:00+00:00,54.29,54.45,53.5309,53.86,609585,54.29,54.45,53.5309,53.86,609585,0.0,1.0
CTLT,2019-07-19 00:00:00+00:00,54.3,54.74,54.22,54.29,490018,54.3,54.74,54.22,54.29,490018,0.0,1.0
CTLT,2019-07-22 00:00:00+00:00,54.94,55.15,54.1525,54.42,693088,54.94,55.15,54.1525,54.42,693088,0.0,1.0
CTLT,2019-07-23 00:00:00+00:00,54.87,55.6,54.48,55.6,705068,54.87,55.6,54.48,55.6,705068,0.0,1.0
CTLT,2019-07-24 00:00:00+00:00,55.42,55.61,53.93,54.8,516860,55.42,55.61,53.93,54.8,516860,0.0,1.0
CTLT,2019-07-25 00:00:00+00:00,56.3,56.52,55.43,56.52,647641,56.3,56.52,55.43,56.52,647641,0.0,1.0
CTLT,2019-07-26 00:00:00+00:00,57.26,57.45,56.09,56.09,502725,57.26,57.45,56.09,56.09,502725,0.0,1.0
CTLT,2019-07-29 00:00:00+00:00,56.41,57.65,56.4,57.38,798168,56.41,57.65,56.4,57.38,798168,0.0,1.0
CTLT,2019-07-30 00:00:00+00:00,58.05,58.38,55.7101,56.02,807019,58.05,58.38,55.7101,56.02,807019,0.0,1.0
CTLT,2019-07-31 00:00:00+00:00,56.49,58.18,56.19,57.65,810725,56.49,58.18,56.19,57.65,810725,0.0,1.0
CTLT,2019-08-01 00:00:00+00:00,55.76,57.19,55.39,56.54,774150,55.76,57.19,55.39,56.54,774150,0.0,1.0
CTLT,2019-08-02 00:00:00+00:00,55.09,55.81,54.49,55.55,535961,55.09,55.81,54.49,55.55,535961,0.0,1.0
CTLT,2019-08-05 00:00:00+00:00,53.47,54.26,52.98,54.04,650326,53.47,54.26,52.98,54.04,650326,0.0,1.0
CTLT,2019-08-06 00:00:00+00:00,55.26,55.31,53.61,53.61,626062,55.26,55.31,53.61,53.61,626062,0.0,1.0
CTLT,2019-08-07 00:00:00+00:00,56.89,56.98,54.38,55.16,862384,56.89,56.98,54.38,55.16,862384,0.0,1.0
CTLT,2019-08-08 00:00:00+00:00,57.19,57.95,56.47,57.24,1274269,57.19,57.95,56.47,57.24,1274269,0.0,1.0
CTLT,2019-08-09 00:00:00+00:00,57.19,57.59,56.54,57.04,454707,57.19,57.59,56.54,57.04,454707,0.0,1.0
CTLT,2019-08-12 00:00:00+00:00,55.38,57.09,55.205,56.65,482953,55.38,57.09,55.205,56.65,482953,0.0,1.0
CTLT,2019-08-13 00:00:00+00:00,56.66,56.89,54.92,55.31,558104,56.66,56.89,54.92,55.31,558104,0.0,1.0
CTLT,2019-08-14 00:00:00+00:00,55.16,55.84,54.89,55.53,443919,55.16,55.84,54.89,55.53,443919,0.0,1.0
CTLT,2019-08-15 00:00:00+00:00,55.27,56.34,54.66,55.44,420416,55.27,56.34,54.66,55.44,420416,0.0,1.0
CTLT,2019-08-16 00:00:00+00:00,55.84,56.14,55.505,55.72,499104,55.84,56.14,55.505,55.72,499104,0.0,1.0
CTLT,2019-08-19 00:00:00+00:00,56.25,56.58,55.97,56.5,804977,56.25,56.58,55.97,56.5,804977,0.0,1.0
CTLT,2019-08-20 00:00:00+00:00,55.77,56.24,55.48,56.22,572669,55.77,56.24,55.48,56.22,572669,0.0,1.0
CTLT,2019-08-21 00:00:00+00:00,55.7,56.25,55.54,56.25,813376,55.7,56.25,55.54,56.25,813376,0.0,1.0
CTLT,2019-08-22 00:00:00+00:00,55.24,56.11,54.93,55.86,627624,55.24,56.11,54.93,55.86,627624,0.0,1.0
CTLT,2019-08-23 00:00:00+00:00,53.15,55.56,52.97,54.94,899555,53.15,55.56,52.97,54.94,899555,0.0,1.0
CTLT,2019-08-26 00:00:00+00:00,54.25,54.74,53.77,53.78,1471979,54.25,54.74,53.77,53.78,1471979,0.0,1.0
CTLT,2019-08-27 00:00:00+00:00,52.83,54.99,52.26,54.74,1940738,52.83,54.99,52.26,54.74,1940738,0.0,1.0
CTLT,2019-08-28 00:00:00+00:00,52.19,52.74,51.12,52.09,1290464,52.19,52.74,51.12,52.09,1290464,0.0,1.0
CTLT,2019-08-29 00:00:00+00:00,52.95,53.51,52.49,52.65,1266209,52.95,53.51,52.49,52.65,1266209,0.0,1.0
CTLT,2019-08-30 00:00:00+00:00,52.74,53.4,51.88,53.18,1031055,52.74,53.4,51.88,53.18,1031055,0.0,1.0
CTLT,2019-09-03 00:00:00+00:00,52.06,53.14,51.98,52.43,776171,52.06,53.14,51.98,52.43,776171,0.0,1.0
